hospitalized_today,total_hospitalized,observation,isolation,district,active
53,957,5145,4188,Kasaragod,1072
55,403,9064,8661,Kannur,455
25,331,2772,2441,Wayanad,268
137,1067,14502,13435,Kozhikode,1329
282,1671,33694,32023,Malappuram,1865
183,819,12051,11232,Palakkad,861
68,472,9706,9234,Thrissur,473
143,1213,13767,12554,Ernakulam,1360
48,234,3914,3680,Idukki,248
78,494,9002,8508,Kottayam,538
100,1222,7140,5918,Alappuzha,1185
83,285,5276,4991,Pathanamthitta,304
129,648,7418,6770,Kollam,534
286,2867,19610,16743,Thiruvananthapuram,3347
1670,12683,153061,140378,Total,13839
