observation,total_hospitalized,district,recovered,deaths,active,isolation,confirmed,hospitalized_today
5057,950,Kasaragod,5511,37,1988,4107,7539,75
14668,1113,Kannur,4508,36,2213,13555,6760,139
2970,575,Wayanad,1686,5,559,2395,2250,78
19754,2708,Kozhikode,6725,46,2962,17046,9738,355
32851,2336,Malappuram,10556,41,3260,30515,13863,250
8546,1363,Palakkad,5160,18,1660,7183,6839,223
11018,1425,Thrissur,5095,29,2259,9593,7385,180
23829,1753,Ernakulam,6817,50,3060,22076,9934,203
7376,495,Idukki,1855,3,577,6881,2436,54
20051,1850,Kottayam,4404,3,2288,18201,6695,156
10485,1994,Alappuzha,6313,19,2357,8491,8691,335
6982,903,Pathanamthitta,3983,3,1197,6079,5184,146
22168,1806,Kollam,4896,32,2664,20362,7595,249
25282,3808,Thiruvananthapuram,17099,157,5669,21474,22954,544
211037,23079,Total,84608,479,32713,187958,117863,2987
