observation,deaths,confirmed,hospitalized_today,recovered,isolation,active,district,total_hospitalized
5998,73,20338,25,18264,5553,1997,Kasaragod,445
17757,134,28958,74,24392,16968,4427,Kannur,789
11470,19,8674,78,7528,10891,1127,Wayanad,579
26946,158,58574,284,50454,24856,7955,Kozhikode,2090
76490,182,60347,184,53294,75276,6862,Malappuram,1214
16618,68,31885,152,25089,15495,6726,Palakkad,1123
28199,174,50732,230,41557,26061,8996,Thrissur,2138
31773,186,56558,141,46406,29789,9955,Ernakulam,1984
13918,10,9075,26,7073,13483,1990,Idukki,435
19293,72,29562,170,24453,17469,5035,Kottayam,1824
15346,127,41003,389,32706,13966,8154,Alappuzha,1380
10177,16,17482,67,15455,9436,2010,Pathanamthitta,741
18608,141,41070,176,35687,17503,5235,Kollam,1105
26888,488,66159,184,59165,24789,6459,Thiruvananthapuram,2099
319481,1848,520417,2180,441523,301535,76928,Total,17946
