observation,total_hospitalized,district,recovered,deaths,active,isolation,confirmed,hospitalized_today
6324,844,Kasaragod,3515,25,1597,5480,5140,83
11590,1024,Kannur,2668,26,900,10566,3596,112
3223,239,Wayanad,1253,5,239,2984,1497,19
15205,1960,Kozhikode,3693,31,1848,13245,5577,185
47282,1980,Malappuram,6611,24,2761,45302,9402,239
11937,803,Palakkad,3786,3,889,11134,4679,57
10372,1271,Thrissur,3007,13,1444,9101,4466,105
18381,1556,Ernakulam,4015,33,2104,16825,6159,143
4462,287,Idukki,1413,3,329,4175,1746,28
15034,1245,Kottayam,2548,3,1466,13789,4017,217
9726,1994,Alappuzha,3613,15,2140,7732,5770,91
5987,902,Pathanamthitta,2380,3,1061,5085,3445,156
15749,1398,Kollam,2828,20,1492,14351,4343,98
23571,3863,Thiruvananthapuram,10212,90,5221,19708,15548,278
198843,19366,Total,51542,294,23491,179477,75385,1811
