observation,total_hospitalized,district,recovered,deaths,active,isolation,confirmed,hospitalized_today
5336,708,Kasaragod,2808,20,1143,4628,3974,97
9754,810,Kannur,1927,18,777,8944,2724,170
3666,313,Wayanad,1025,3,279,3353,1307,13
14964,1259,Kozhikode,2639,25,1367,13705,4036,240
42406,2157,Malappuram,4165,18,2960,40249,7148,412
13943,629,Palakkad,3080,3,716,13314,3800,105
9225,1017,Thrissur,2168,11,996,8208,3177,142
17423,1287,Ernakulam,2932,32,1743,16136,4714,117
4245,305,Idukki,1142,3,359,3940,1505,38
12342,898,Kottayam,1921,2,1019,11444,2942,113
9414,1700,Alappuzha,2459,12,2012,7714,4485,87
5635,591,Pathanamthitta,1895,3,697,5044,2596,105
9385,909,Kollam,2243,13,904,8476,3163,90
24787,3946,Thiruvananthapuram,7245,60,5361,20841,12691,337
182525,16529,Total,37649,223,20333,165996,58262,2066
