observation,total_hospitalized,district,recovered,deaths,active,isolation,confirmed,hospitalized_today
4941,996,Kasaragod,5635,37,2183,3945,7858,49
15125,1031,Kannur,4605,36,2376,14094,7020,112
3006,558,Wayanad,1765,5,587,2448,2357,70
20032,2854,Kozhikode,7000,47,3231,17178,10283,441
33926,2444,Malappuram,10770,42,3396,31482,14214,324
8701,1457,Palakkad,5274,18,1787,7244,7080,211
11130,1453,Thrissur,5235,31,2413,9677,7681,172
23595,1853,Ernakulam,7174,50,3086,21742,10317,327
7360,491,Idukki,1902,3,634,6869,2540,45
20018,1884,Kottayam,4524,3,2372,18134,6899,155
11071,2175,Alappuzha,6509,19,2528,8896,9058,316
7180,1043,Pathanamthitta,4085,3,1231,6137,5320,244
22080,1696,Kollam,5221,35,2554,20384,7813,161
25430,3901,Thiruvananthapuram,17646,160,5939,21529,23774,454
213595,23836,Total,87345,489,34317,189759,122214,3081
