observation,isolation,district,deaths,confirmed,recovered,active,total_hospitalized,hospitalized_today
6416,6018,Kasaragod,74,20952,19085,1789,398,41
16489,15833,Kannur,147,30407,26686,3569,656,54
11265,10707,Wayanad,21,9316,8183,1112,558,88
24824,23152,Kozhikode,173,62271,55120,6971,1672,223
78862,77618,Malappuram,204,64600,57123,7264,1244,152
16419,15293,Palakkad,73,34312,28749,5487,1126,136
28379,26553,Thrissur,199,54039,46251,7584,1826,264
28390,26793,Ernakulam,200,59803,50526,9066,1597,124
14762,14330,Idukki,11,10049,7946,2090,432,78
19835,18298,Kottayam,80,31560,27586,3892,1537,182
12930,11349,Alappuzha,135,43648,36202,7293,1581,224
10227,9491,Pathanamthitta,16,18503,16415,2071,736,121
19240,17858,Kollam,151,43824,39391,4275,1382,175
27480,25796,Thiruvananthapuram,513,68385,62455,5368,1684,170
315518,299089,Total,1997,551669,481718,67831,16429,2032
