observation,total_hospitalized,district,recovered,deaths,active,isolation,confirmed,hospitalized_today
5402,646,Kasaragod,2764,20,1102,4756,3889,61
9621,765,Kannur,1839,18,722,8856,2581,103
3623,368,Wayanad,986,3,308,3255,1297,31
14864,1286,Kozhikode,2627,24,1262,13578,3917,248
41539,2024,Malappuram,4065,18,2874,39515,6962,301
13687,766,Palakkad,2830,3,927,12921,3761,107
9596,956,Thrissur,2098,11,950,8640,3061,221
16886,1331,Ernakulam,2761,32,1714,15555,4514,152
4200,286,Idukki,1123,3,349,3914,1476,24
12033,849,Kottayam,1849,2,985,11184,2836,133
9510,1744,Alappuzha,2406,11,1825,7766,4244,155
5602,539,Pathanamthitta,1850,3,638,5063,2492,98
9445,846,Kollam,2221,12,794,8599,3030,36
24241,4105,Thiruvananthapuram,7120,58,5091,20136,12294,1029
180249,16511,Total,36539,218,19541,163738,56354,2699
