district,recovered,confirmed,hospitalized_today,total_hospitalized,isolation,deaths,active,observation
Kasaragod,7151,9637,95,829,3530,47,2436,4359
Kannur,6212,9896,137,1113,13177,40,3641,14290
Wayanad,2340,3044,89,629,2741,5,699,3370
Kozhikode,10102,15166,374,3272,19807,61,4998,23079
Malappuram,14662,19206,288,2303,30773,64,4474,33076
Palakkad,6783,9992,210,1892,6723,26,3182,8615
Thrissur,7157,11385,319,2193,9392,45,4180,11585
Ernakulam,9493,14856,349,2434,22303,59,5296,24737
Idukki,2422,3339,66,638,8079,3,912,8717
Kottayam,5887,9300,185,2192,17912,12,3401,20104
Alappuzha,8449,12333,544,3277,9769,34,3846,13046
Pathanamthitta,5147,6987,30,1078,6879,5,1834,7957
Kollam,7160,11577,289,1962,19094,47,4367,21056
Thiruvananthapuram,21565,31221,471,4071,24268,208,9415,28339
Total,114530,167939,3446,27883,194447,656,52681,222330
