observation,total_hospitalized,district,recovered,deaths,active,isolation,confirmed,hospitalized_today
6386,853,Kasaragod,3602,27,1523,5533,5155,33
11468,1052,Kannur,2765,26,880,10416,3673,100
3025,238,Wayanad,1277,5,223,2787,1505,23
15127,1851,Kozhikode,3933,31,1763,13276,5732,141
47120,1848,Malappuram,6897,24,2666,45272,9593,145
11622,717,Palakkad,3939,3,778,10905,4721,68
10092,1270,Thrissur,3127,13,1457,8822,4599,140
18252,1591,Ernakulam,4149,34,2130,16661,6320,177
4423,278,Idukki,1427,3,315,4145,1746,9
15603,1257,Kottayam,2663,3,1413,14346,4079,88
9791,2034,Alappuzha,3915,15,1870,7757,5802,135
6106,929,Pathanamthitta,2458,3,995,5177,3457,116
15073,1429,Kollam,2895,20,1450,13644,4368,91
22494,3747,Thiruvananthapuram,10606,91,5052,18747,15775,200
196582,19094,Total,53653,298,22515,177488,76525,1466
