deaths,confirmed,isolation,observation,active,district,recovered,hospitalized_today,total_hospitalized
75,21169,6594,6957,1662,Kasaragod,19428,27,363
148,30995,16067,16707,3145,Kannur,27697,58,640
22,9660,9720,10294,1173,Wayanad,8465,36,574
180,64107,22105,23757,6652,Kozhikode,57268,171,1652
210,67183,81182,82490,7789,Malappuram,59175,109,1308
77,35589,15193,16319,5161,Palakkad,30348,123,1126
210,55343,26869,28582,7106,Thrissur,48022,141,1713
205,61419,24625,26192,8549,Ernakulam,52654,101,1567
11,10506,14054,14512,2261,Idukki,8232,47,458
85,32617,17792,19389,3970,Kottayam,28560,212,1597
146,44723,10126,11684,6804,Alappuzha,37756,198,1558
16,18945,9470,10215,1975,Pathanamthitta,16953,94,745
156,44800,17983,19295,3467,Kollam,41170,73,1312
530,69396,26615,28150,4457,Thiruvananthapuram,64361,161,1535
2071,566452,298395,314543,64171,Total,500089,1551,16148
