observation,total_hospitalized,district,recovered,deaths,active,isolation,confirmed,hospitalized_today
5981,858,Kasaragod,4069,30,1786,5123,5888,150
12363,990,Kannur,3226,30,968,11373,4226,188
2908,290,Wayanad,1377,5,283,2618,1665,41
14897,1688,Kozhikode,4778,31,1664,13209,6478,265
48652,1400,Malappuram,8389,26,1836,47252,10257,181
10302,507,Palakkad,4310,4,636,9795,4951,66
10838,1439,Thrissur,3622,16,1546,9399,5186,186
19663,1654,Ernakulam,4790,38,2245,18009,7080,277
4578,221,Idukki,1577,3,281,4357,1862,34
16289,1374,Kottayam,3087,3,1591,14915,4681,185
9575,1166,Alappuzha,4885,15,1383,8409,6285,105
5978,860,Pathanamthitta,2851,3,1026,5118,3881,177
14522,1238,Kollam,3309,25,1595,13284,4932,162
21574,3537,Thiruvananthapuram,12289,108,4963,18037,17387,506
198120,17222,Total,62559,337,21803,180898,84759,2523
