observation,total_hospitalized,district,recovered,deaths,active,isolation,confirmed,hospitalized_today
5288,1048,Kasaragod,5174,37,2034,4240,7248,34
14091,1349,Kannur,4101,35,2161,12742,6300,106
2959,486,Wayanad,1642,5,440,2473,2087,50
18819,2548,Kozhikode,6264,43,2698,16271,9010,367
31936,2138,Malappuram,9996,38,3177,29798,13217,307
9664,1222,Palakkad,4923,11,1548,8442,6483,99
10848,1383,Thrissur,4755,26,2151,9465,6934,138
23096,1851,Ernakulam,6237,49,3083,21245,9376,147
7027,438,Idukki,1791,3,536,6589,2331,50
20415,1847,Kottayam,4135,3,2178,18568,6316,164
9576,1994,Alappuzha,5959,19,2050,7582,8030,244
6668,1017,Pathanamthitta,3704,3,1094,5651,4802,81
20120,1794,Kollam,4719,31,2308,18326,7061,106
24651,3802,Thiruvananthapuram,16413,151,5031,20849,21623,320
205158,22917,Total,79813,454,30489,182241,110818,2213
