observation,total_hospitalized,district,recovered,deaths,active,isolation,confirmed,hospitalized_today
4850,1103,Kasaragod,6286,41,2182,3747,8512,102
15120,999,Kannur,5061,39,3025,14121,8128,110
3392,649,Wayanad,1974,5,656,2743,2635,57
21458,3136,Kozhikode,8351,47,3608,18322,12011,297
34929,2489,Malappuram,12235,56,3580,32440,15877,294
8577,1746,Palakkad,5838,25,2289,6831,8153,172
11463,1746,Thrissur,5918,38,2909,9717,8863,200
22263,2072,Ernakulam,8170,54,3621,20191,11852,270
8300,531,Idukki,2131,3,711,7769,2846,55
20233,2207,Kottayam,5012,8,2797,18026,7817,217
12093,2376,Alappuzha,7315,19,2675,9717,10011,122
7557,1126,Pathanamthitta,4535,3,1309,6431,5848,166
22085,1603,Kollam,6203,40,2883,20482,9129,125
26587,3995,Thiruvananthapuram,19695,175,7047,22592,26949,494
218907,25778,Total,98724,553,39288,193129,138631,2681
