observation,total_hospitalized,district,recovered,deaths,active,isolation,confirmed,hospitalized_today
5335,719,Kasaragod,2986,23,1179,4616,4191,59
10191,865,Kannur,2071,18,859,9326,2950,122
3712,297,Wayanad,1082,4,278,3415,1364,38
14963,1431,Kozhikode,2909,26,1437,13532,4377,233
42935,2147,Malappuram,4521,21,3224,40788,7771,189
13892,558,Palakkad,3319,3,728,13334,4051,100
9365,1048,Thrissur,2320,11,1117,8317,3450,129
17410,1381,Ernakulam,3159,33,1843,16029,5042,176
4255,264,Idukki,1227,3,299,3991,1530,17
12350,949,Kottayam,2051,3,1063,11401,3117,90
9564,1829,Alappuzha,2669,14,2030,7735,4715,77
5805,629,Pathanamthitta,1958,3,733,5176,2695,23
9617,916,Kollam,2353,17,989,8701,3362,154
24400,3977,Thiruvananthapuram,7718,65,5456,20423,13264,427
183794,17010,Total,40343,244,21235,166784,61879,1834
