observation,total_hospitalized,district,recovered,deaths,active,isolation,confirmed,hospitalized_today
5598,742,Kasaragod,3348,24,1503,4856,4878,84
11527,1060,Kannur,2467,24,917,10467,3410,165
3782,293,Wayanad,1203,5,251,3489,1459,20
15151,1828,Kozhikode,3386,28,1737,13323,5156,277
46195,2021,Malappuram,6030,24,2970,44174,9030,249
12414,728,Palakkad,3608,3,980,11686,4592,146
10127,1236,Thrissur,2767,12,1449,8891,4230,222
17972,1503,Ernakulam,3743,33,1935,16469,5718,187
4460,297,Idukki,1345,3,347,4163,1696,45
13725,1136,Kottayam,2386,3,1319,12589,3708,124
9780,2243,Alappuzha,3280,15,2244,7537,5541,185
5825,906,Pathanamthitta,2176,3,1025,4919,3205,113
15223,1177,Kollam,2667,18,1373,14046,4061,123
24148,3935,Thiruvananthapuram,9677,85,5230,20213,15017,423
195927,19105,Total,48083,280,23280,176822,71701,2363
