observation,total_hospitalized,district,recovered,deaths,active,isolation,confirmed,hospitalized_today
4916,1103,Kasaragod,5947,40,2204,3813,8194,55
15315,991,Kannur,4865,36,2668,14324,7572,143
3223,625,Wayanad,1875,5,640,2598,2520,87
21113,3048,Kozhikode,7692,47,3355,18065,11099,348
33884,2477,Malappuram,11361,45,3633,31407,15045,279
8881,1610,Palakkad,5522,21,2153,7271,7697,197
11407,1624,Thrissur,5568,36,2756,9783,8358,268
22958,1988,Ernakulam,7584,53,3372,20970,11016,246
7704,567,Idukki,2029,3,654,7137,2687,117
19927,2003,Kottayam,4755,3,2629,17924,7387,170
11476,2407,Alappuzha,6879,19,2780,9069,9680,271
7417,946,Pathanamthitta,4367,3,1271,6471,5642,96
23933,1726,Kollam,5809,39,2753,22207,8604,270
25541,4046,Thiruvananthapuram,18698,169,6627,21495,25524,523
217695,25161,Total,92951,519,37491,192534,131025,3070
