hospitalized_today,total_hospitalized,deaths,active,observation,confirmed,recovered,district,isolation
50,820,64,3709,4834,16372,12595,Kasaragod,4014
159,1075,81,5971,16386,19459,13404,Kannur,15311
96,721,5,1169,4417,5632,4458,Wayanad,3696
385,3570,109,10714,31541,36334,25505,Kozhikode,27971
221,1924,113,9807,49196,40266,30338,Malappuram,47272
143,1351,40,7244,18248,20674,13389,Palakkad,16897
273,2166,72,9447,15873,27140,17617,Thrissur,13707
236,2508,102,12287,32347,33781,21383,Ernakulam,29839
36,494,7,1650,12388,5737,4078,Idukki,11894
235,2048,34,6428,17719,17815,11353,Kottayam,15671
385,1958,70,6583,15230,23989,17325,Alappuzha,13272
156,962,7,3104,9269,12323,9211,Pathanamthitta,8307
242,1606,86,7148,19053,25539,18300,Kollam,17447
354,3762,349,10743,30399,49167,38033,Thiruvananthapuram,26637
2971,24965,1139,96004,276900,334228,236989,Total,251935
