observation,total_hospitalized,district,recovered,deaths,active,isolation,confirmed,hospitalized_today
5532,763,Kasaragod,3110,23,1387,4769,4523,72
10815,1077,Kannur,2239,22,917,9738,3180,121
3862,299,Wayanad,1158,4,257,3563,1419,50
15304,1664,Kozhikode,3149,27,1649,13640,4830,270
45343,2240,Malappuram,5313,21,3014,43103,8353,255
12955,674,Palakkad,3441,3,887,12281,4332,96
9727,1119,Thrissur,2515,12,1287,8608,3816,163
18067,1463,Ernakulam,3440,33,1895,16604,5375,171
4253,301,Idukki,1268,3,348,3952,1620,69
12397,1025,Kottayam,2184,3,1256,11372,3443,135
9882,2033,Alappuzha,2894,15,2169,7849,5080,193
5841,805,Pathanamthitta,2038,3,1000,5036,3042,180
15220,1092,Kollam,2470,17,1181,14128,3671,258
24727,3857,Thiruvananthapuram,8542,81,5429,20870,14077,432
193925,18412,Total,43761,267,22676,175513,66761,2465
