recovered,deaths,district,hospitalized_today,isolation,observation,confirmed,total_hospitalized,active
25490,94,Kasaragod,30,7097,7370,27492,273,1901
46544,270,Kannur,44,13904,14291,50345,387,3505
22689,75,Wayanad,28,6193,6440,25028,247,2262
105657,422,Kozhikode,92,25265,26022,111913,757,5812
107727,393,Malappuram,113,23747,24240,111361,493,3226
53539,172,Palakkad,41,10663,11157,57300,494,3580
87872,406,Thrissur,131,22322,23250,92872,928,4580
105824,399,Ernakulam,92,23298,24580,116119,1282,9870
22202,36,Idukki,48,9111,9549,25620,438,3377
68459,191,Kottayam,127,15211,16339,73556,1128,4899
68904,325,Alappuzha,158,11004,11980,73103,976,3850
43334,94,Pathanamthitta,155,20543,21558,50618,1015,7182
74665,283,Kollam,110,15077,15839,80831,762,5862
92965,794,Thiruvananthapuram,125,27507,28747,97894,1240,4055
925871,3954,Total,1294,230942,241362,994052,10420,63961
