observation,total_hospitalized,district,recovered,deaths,active,isolation,confirmed,hospitalized_today
4894,1099,Kasaragod,6110,41,2248,3795,8402,66
15440,1025,Kannur,5022,36,2753,14415,7814,150
3372,639,Wayanad,1928,5,684,2733,2617,70
21630,3132,Kozhikode,7932,47,3651,18498,11635,372
34724,2642,Malappuram,11749,48,3725,32082,15528,284
8945,1746,Palakkad,5667,22,2296,7199,7986,282
11538,1659,Thrissur,5778,38,2866,9879,8680,228
22523,2001,Ernakulam,7873,54,3619,20522,11553,209
7933,476,Idukki,2094,3,666,7457,2764,38
20681,2300,Kottayam,4876,8,2777,18381,7661,214
11953,2456,Alappuzha,7081,19,2797,9497,9899,336
7464,1046,Pathanamthitta,4456,3,1372,6418,5832,220
24563,1708,Kollam,5960,40,2931,22855,8934,211
26519,3989,Thiruvananthapuram,19176,171,7037,22530,26416,474
222179,25918,Total,95702,535,39418,196261,135721,3154
