observation,total_hospitalized,district,recovered,deaths,active,isolation,confirmed,hospitalized_today
6058,743,Kasaragod,3991,29,1589,5315,5612,89
12210,950,Kannur,3102,29,871,11260,4004,103
2892,281,Wayanad,1348,5,292,2611,1645,63
15118,1703,Kozhikode,4585,31,1613,13415,6234,233
48284,1553,Malappuram,8051,26,1925,46731,10008,93
10480,559,Palakkad,4198,4,648,9921,4851,61
10549,1374,Thrissur,3512,15,1488,9175,5017,166
18862,1490,Ernakulam,4662,38,2187,17372,6894,132
4417,252,Idukki,1517,3,310,4165,1831,52
15634,1324,Kottayam,2966,3,1593,14310,4562,166
9769,1333,Alappuzha,4853,15,1284,8436,6154,75
5996,839,Pathanamthitta,2711,3,1018,5157,3733,126
16203,1336,Kollam,3175,21,1563,14867,4762,69
21465,3457,Thiruvananthapuram,11777,104,4890,18008,16797,322
197937,17194,Total,60448,326,21271,180743,82104,1750
