observation,total_hospitalized,district,recovered,deaths,active,isolation,confirmed,hospitalized_today
6004,1042,Kasaragod,4274,31,1932,4962,6240,233
12842,1217,Kannur,3365,31,1288,11625,4686,207
2602,299,Wayanad,1427,5,277,2303,1709,29
15550,1665,Kozhikode,5321,36,1483,13885,6845,206
46986,1458,Malappuram,8793,26,1943,45528,10768,201
10199,598,Palakkad,4500,4,726,9601,5231,155
9872,1366,Thrissur,3922,17,1542,8506,5483,135
20741,1754,Ernakulam,5159,39,2286,18987,7491,208
5066,222,Idukki,1628,3,273,4844,1905,21
16764,1394,Kottayam,3332,3,1695,15370,5030,195
9317,1462,Alappuzha,5053,16,1513,7855,6584,219
6015,906,Pathanamthitta,3062,3,952,5109,4018,128
15889,1261,Kollam,3644,26,1658,14628,5331,140
22804,3486,Thiruvananthapuram,13521,119,4501,19318,18168,308
200651,18130,Total,67001,359,22069,182521,89489,2385
