observation,total_hospitalized,district,recovered,deaths,active,isolation,confirmed,hospitalized_today
5430,710,Kasaragod,3026,23,1240,4720,4292,66
10392,962,Kannur,2120,19,937,9430,3078,178
3846,298,Wayanad,1114,4,276,3548,1394,35
15170,1532,Kozhikode,3059,26,1502,13638,4592,220
44577,2262,Malappuram,4775,21,3322,42315,8123,213
13570,634,Palakkad,3385,3,748,12936,4137,144
9619,1064,Thrissur,2420,11,1221,8555,3654,131
17712,1421,Ernakulam,3350,33,1845,16291,5235,154
4045,260,Idukki,1240,3,349,3785,1593,9
12088,976,Kottayam,2110,3,1141,11112,3254,91
9730,1935,Alappuzha,2764,14,2128,7795,4908,166
5762,710,Pathanamthitta,2001,3,870,5052,2875,137
13190,953,Kollam,2411,17,1064,12237,3495,69
24650,3929,Thiruvananthapuram,7919,77,5704,20721,13725,485
189781,17646,Total,41694,257,22347,172135,64355,2098
