hospitalized_today,isolation,total_hospitalized,observation,district,active
58,6161,194,6355,Kasaragod,192
33,24418,388,24806,Kannur,360
19,3468,88,3556,Wayanad,82
28,14932,248,15180,Kozhikode,178
49,41037,680,41717,Malappuram,540
61,11960,330,12290,Palakkad,322
24,13737,232,13969,Thrissur,204
56,13294,401,13695,Ernakulam,333
15,5706,115,5821,Idukki,116
13,8572,137,8709,Kottayam,151
54,5777,444,6221,Alappuzha,483
55,4776,255,5031,Pathanamthitta,269
22,9126,134,9260,Kollam,190
226,13254,730,13984,Thiruvananthapuram,608
713,176218,4376,180594,Total,4028
