observation,total_hospitalized,district,recovered,deaths,active,isolation,confirmed,hospitalized_today
6104,838,Kasaragod,4179,31,1893,5266,6106,131
12471,1071,Kannur,3295,31,1098,11400,4426,188
2637,289,Wayanad,1407,5,293,2348,1705,32
15200,1677,Kozhikode,5043,33,1661,13523,6742,228
48142,1431,Malappuram,8591,26,1958,46711,10581,149
10378,518,Palakkad,4405,4,703,9860,5113,108
10048,1441,Thrissur,3767,16,1570,8607,5355,165
20357,1711,Ernakulam,4975,38,2341,18646,7361,208
4767,234,Idukki,1596,3,301,4533,1901,35
16630,1347,Kottayam,3217,3,1656,15283,4876,119
9705,1270,Alappuzha,4921,16,1567,8435,6506,130
6007,927,Pathanamthitta,2939,3,1051,5080,3994,167
15550,1243,Kollam,3513,26,1718,14307,5260,174
22300,3510,Thiruvananthapuram,12907,112,4869,18790,17915,576
200296,17507,Total,64755,347,22679,182789,87841,2410
