observation,isolation,district,deaths,confirmed,recovered,active,total_hospitalized,hospitalized_today
4062,3114,Kasaragod,41,8845,6809,1992,948,77
14907,13742,Kannur,40,8636,5417,3176,1165,173
3520,2848,Wayanad,5,2775,2062,708,672,46
21526,18262,Kozhikode,59,12909,8908,3937,3264,428
29586,27021,Malappuram,60,16833,13075,3692,2565,201
7763,5987,Palakkad,26,8673,6223,2423,1776,188
11562,9736,Thrissur,39,9710,6338,3331,1826,289
22600,20441,Ernakulam,55,12882,8674,4145,2159,201
8165,7575,Idukki,3,2967,2228,734,590,88
19755,17668,Kottayam,8,8248,5401,2839,2087,132
12421,9939,Alappuzha,19,10915,7713,3178,2482,401
7696,6662,Pathanamthitta,3,6278,4779,1495,1034,153
22250,20419,Kollam,45,9979,6570,3361,1831,333
26816,22726,Thiruvananthapuram,189,28482,20485,7775,4090,421
212629,186140,Total,592,148132,104682,42786,26489,3131
